airline_id,operator_state,region,year,fuel_burn_tonnes,g_i,year_shock,fuel_share_in_year
AL0001,Singapore,APAC,2019,641109.5809609329,-0.05410029758139982,0.10315010913164263,0.0010623402238135594
AL0002,Mexico,LAM,2019,473328.05810435873,0.017953952714200645,0.10315010913164263,0.0007843205750101917
AL0003,India,APAC,2019,1294948.1695193371,-0.003116586014171377,0.10315010913164263,0.002145772843032837
AL0004,China,APAC,2019,134763.53080914845,-0.019327799111566485,0.10315010913164263,0.00022330772107182137
AL0005,United Kingdom,EUR,2019,358905.9725957944,0.008111948877639982,0.10315010913164263,0.0005947193156651226
AL0006,Brazil,LAM,2019,992006.993072503,0.02508511608822915,0.10315010913164263,0.001643789084333583
AL0007,United States,NAM,2019,805969.9928026869,0.01934574173761537,0.10315010913164263,0.0013355194930290617
AL0008,Ethiopia,AFR,2019,1580928.8966545693,-0.028186692537429003,0.10315010913164263,0.002619652564524193
AL0009,India,APAC,2019,642096.5425936815,0.010674019414295789,0.10315010913164263,0.001063975652565471
AL0010,France,EUR,2019,302573.2611312498,0.11063331567695876,0.10315010913164263,0.000501374110598041
AL0011,United Kingdom,EUR,2019,622700.0212116076,-0.012182193761857252,0.10315010913164263,0.0010318349616786624
AL0012,China,APAC,2019,125002.12300159376,-0.03748371913991641,0.10315010913164263,0.00020713273872407668
AL0013,China,APAC,2019,825086.0583528766,0.041009662776482866,0.10315010913164263,0.0013671954591323676
AL0014,France,EUR,2019,780508.9839589217,0.05386512643259484,0.10315010913164263,0.001293329741640441
AL0015,United Arab Emirates,MEA,2019,393058.25169395626,0.048561764083807746,0.10315010913164263,0.0006513107953408806
AL0016,Qatar,MEA,2019,566492.3173713097,-0.014788701433860282,0.10315010913164263,0.0009386968984660539
AL0017,Canada,NAM,2019,149431.3116864474,0.06992379700968321,0.10315010913164263,0.0002476127292682089
AL0018,India,APAC,2019,272764.12285792205,-0.001413287540233954,0.10315010913164263,0.0004519793619226097
AL0019,Singapore,APAC,2019,180044.70711051227,-0.015395058169624748,0.10315010913164263,0.0002983401591995295
AL0020,Canada,NAM,2019,142209.8517161796,0.00566089907280173,0.10315010913164263,0.00023564652625253057
AL0021,China,APAC,2019,1233309.5821652517,0.025651979731171004,0.10315010913164263,0.002043635622454814
AL0022,China,APAC,2019,264316.0787492935,0.05856365712257822,0.10315010913164263,0.00043798066757195684
AL0023,Singapore,APAC,2019,1130483.8250220048,0.054953273027533805,0.10315010913164263,0.0018732498707809326
AL0024,United States,NAM,2019,564065.2469645941,0.02910002915766036,0.10315010913164263,0.0009346751608479435
AL0025,United States,NAM,2019,200011.42358472614,0.0673162222271589,0.10315010913164263,0.00033142568260762656
AL0026,United Arab Emirates,MEA,2019,402837.08151459123,0.03325958293594588,0.10315010913164263,0.0006675146465525834
AL0027,France,EUR,2019,1001635.2963726759,0.06583935615201865,0.10315010913164263,0.0016597435080180948
AL0028,Mexico,LAM,2019,3507377.811867901,-0.026154751792367738,0.10315010913164263,0.00581184346687452
AL0029,Singapore,APAC,2019,331841.4643704031,-0.032966959708684976,0.10315010913164263,0.0005498725116562488
AL0030,United Arab Emirates,MEA,2019,742389.999152394,0.06102881786466141,0.10315010913164263,0.0012301652966633194
AL0031,United Arab Emirates,MEA,2019,946443.7052563153,-0.025603297845040146,0.10315010913164263,0.001568289177899834
AL0032,China,APAC,2019,3277577.6324058734,0.017939231980984516,0.10315010913164263,0.005431056809909923
AL0033,United States,NAM,2019,1704683.4627105023,0.026075889919382724,0.10315010913164263,0.0028247180592634166
AL0034,China,APAC,2019,624760.466381691,0.010481966373821469,0.10315010913164263,0.0010352491888999452
AL0035,"Korea, Rep.",APAC,2019,591771.7413380002,0.011860421046048668,0.10315010913164263,0.0009805857575818377
AL0036,China,APAC,2019,1192755.4862678035,0.08570506180712573,0.10315010913164263,0.001976436116174347
AL0037,Germany,EUR,2019,196758.86433971408,-0.07118406033998798,0.10315010913164263,0.0003260360821104168
AL0038,United States,NAM,2019,404142.0527806845,0.06535494538891315,0.10315010913164263,0.0006696770280050861
AL0039,South Africa,AFR,2019,1270827.4108668554,0.12180689371174262,0.10315010913164263,0.0021058039314670127
AL0040,United States,NAM,2019,4553264.814506662,0.03094338242264265,0.10315010913164263,0.0075449135464100495
AL0041,China,APAC,2019,324079.5285014574,0.02924100818082329,0.10315010913164263,0.0005370107218263683
AL0042,Brazil,LAM,2019,387324.8885300501,0.05905483182492101,0.10315010913164263,0.0006418104189814768
AL0043,United Arab Emirates,MEA,2019,510976.9847342283,0.10315418162272076,0.10315010913164263,0.0008467061177162726
AL0044,South Africa,AFR,2019,2221444.0509834327,-0.01752195796476011,0.10315010913164263,0.0036810078033365817
AL0045,Singapore,APAC,2019,390309.17988650134,0.03350757334220904,0.10315010913164263,0.0006467554905288173
AL0046,Australia,APAC,2019,2435395.058757007,0.022551339005032898,0.10315010913164263,0.004035531847639027
AL0047,United States,NAM,2019,117342.84965125319,0.05237525107359195,0.10315010913164263,0.00019444106415410038
AL0048,Qatar,MEA,2019,310840.4288368742,0.036367467857180494,0.10315010913164263,0.000515073086641315
AL0049,United Arab Emirates,MEA,2019,293386.7049858503,0.0563861246300352,0.10315010913164263,0.0004861516768653369
AL0050,Brazil,LAM,2019,1132151.7659300123,0.013134692723138282,0.10315010913164263,0.001876013705186378
AL0051,Germany,EUR,2019,1424245.911398289,0.03196008622274083,0.10315010913164263,0.002360023567285613
AL0052,Turkey,EUR,2019,249454.1876860423,0.0031863047837126478,0.10315010913164263,0.0004133540122429841
AL0053,United States,NAM,2019,122199.1876468786,0.0034283798529581543,0.10315010913164263,0.00020248818019540844
AL0054,Germany,EUR,2019,650459.3643744568,0.024338406373083543,0.10315010913164263,0.0010778331306411937
